
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:21:32
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:21:37
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:21:42
Alarm: aai1, Tag: ai1, Value: 6.29320391049837, Time: 16-Feb-21 00:21:47
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 00:21:57
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267653, Time: 16-Feb-21 00:22:02
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:22:12
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:22:17
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:22:22
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:22:27
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:22:32
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:22:37
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:22:42
Alarm: aai1, Tag: ai1, Value: 6.29320391049837, Time: 16-Feb-21 00:22:47
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 00:22:57
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267653, Time: 16-Feb-21 00:23:02
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:23:12
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:23:17
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:23:22
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:23:27
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:23:32
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:23:37
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:23:42
Alarm: aai1, Tag: ai1, Value: 6.29320391049837, Time: 16-Feb-21 00:23:48
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267654, Time: 16-Feb-21 00:23:58
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 00:24:03
Alarm: aai1, Tag: ai1, Value: 6.29320391049838, Time: 16-Feb-21 00:24:13
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:24:18
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:24:23
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:24:28
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:24:33
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:24:38
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:24:43
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:24:48
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267654, Time: 16-Feb-21 00:24:58
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 00:25:03
Alarm: aai1, Tag: ai1, Value: 6.29320391049838, Time: 16-Feb-21 00:25:13
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:25:18
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:25:23
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:25:28
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:25:33
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:25:38
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:25:43
